OBJECTID,Elevation,Area,Volume
-1,332.075469970699999,,
-1,332.105949970700010,111.484093935777253,2.539193586448214
-1,332.136429970700021,334.452281807331758,8.325243464991667
-1,332.166909970699976,594.581834324145348,23.104506894466045
-1,332.197389970699987,743.227292905181685,42.629873566140411
-1,332.227869970699999,1077.679574712513386,70.684617175589239
-1,332.258349970700010,1337.809127229327032,106.872945600583662
-1,332.288829970700021,1672.261409036658733,153.540125628428257
-1,332.319309970699976,2192.520514070286026,210.627185366985742
-1,332.349789970699987,2861.425077684949429,287.396114106351092
-1,332.380269970699999,3641.813735235390141,385.912062146176879
-1,332.410749970700010,5425.559238207826638,516.304586035884881
-1,332.441229970700022,8993.050244152698724,727.110955228979947
-1,332.471709970699976,14492.932211651042962,1087.214876041167599
-1,332.502189970699987,20290.105096311461239,1620.976276224527965
-1,332.532669970699999,25158.243864840398601,2314.591196719548861
-1,332.563149970700010,30435.157644467188220,3169.795906119732990
-1,332.593629970700022,35228.973683705611620,4165.444444794479750
-1,332.624109970699976,40914.662474430253496,5316.101736026842445
-1,332.654589970699988,46563.189900509634754,6654.339543549013797
-1,332.685069970699999,51951.587774072198954,8159.405431702924034
-1,332.715549970700010,57525.792470861058973,9832.343883424311571
-1,332.746029970700022,64140.515377717179945,11679.429734851551984
-1,332.776509970699976,70346.463273475441383,13734.173763691636850
-1,332.806989970699988,74322.729290518167545,15947.134842836572716
-1,332.837469970699999,77481.445285365189193,18262.328233300831926
-1,332.867949970700010,80825.968103438513936,20678.448614933447971
-1,332.898429970700022,83167.134076089831069,23180.606719044622878
-1,332.928909970699976,85619.784142676930060,25756.301638576096593
-1,332.959389970699988,88592.693314297663164,28404.178154083569098
-1,332.989869970699999,91119.666110175268841,31143.743487041130720
-1,333.020349970700011,93832.445729279192165,33968.782907277396589
-1,333.050829970700022,96731.032171609389479,36876.946611705665418
-1,333.081309970699976,99220.843602841749089,39857.118398658065416
-1,333.111789970699988,100893.105011878418736,42908.836699671133829
-1,333.142269970699999,102453.882326979291975,46006.864947134679824
-1,333.172749970700011,104386.273288532771403,49159.732517986478342
-1,333.203229970700022,106207.180156150468974,52366.275851431659248
-1,333.233709970699977,108251.055211639715708,55634.380169893884158
-1,333.264189970699988,109551.702974223779165,58953.990765763759555
-1,333.294669970699999,111223.964383260434261,62319.541599683405366
-1,333.325149970700011,112450.289416553991032,65729.675184058811283
-1,333.355629970700022,113527.968991266505327,69171.533378254360287
-1,333.386109970699977,114605.648565979019622,72649.286175489061861
-1,333.416589970699988,115534.682682110491442,76157.567133578442736
-1,333.447069970699999,116909.653173985076137,79700.813887405805872
-1,333.477549970700011,118173.139571923893527,83281.184581408422673
-1,333.508029970700022,119250.819146636407822,86898.945723175755120
-1,333.538509970699977,120588.628273865731899,90552.777249583814410
-1,333.568989970699988,121591.985119287724956,94240.875981623001280
-1,333.599469970700000,122483.857870773936156,97960.007537824581959
-1,333.629949970700011,123152.762434388598194,101703.186017119965982
-1,333.660429970700022,124304.764738391633728,105477.959821702723275
-1,333.690909970699977,124973.669302006295766,109280.811051391923684
-1,333.721389970699988,125754.057959556739661,113101.341373898947495
-1,333.751869970700000,126645.930711042965413,116944.867332114954479
-1,333.782349970700011,127277.673910012366832,120813.717181704530958
-1,333.812829970700022,127797.933015045986394,124703.448751484917011
-1,333.843309970699977,128764.128495822733385,128614.564436614164151
-1,333.873789970699988,129581.678518018423347,132549.665804795396980
-1,333.904269970700000,130250.583081633085385,136509.250714887224603
-1,333.934749970700011,131105.294468474050518,140490.969363802927546
-1,333.965229970700022,132071.489949250797508,144501.924462320544990
-1,333.995709970699977,132963.362700736994157,148535.682403822836932
-1,334.026189970699988,133632.267264351656195,152599.111145594128175
-1,334.056669970700000,134375.494557256839471,156683.579243960208260
-1,334.087149970700011,135230.205944097804604,160794.760475389630301
-1,334.117629970700023,136084.917330938769737,164927.779452107410179
-1,334.148109970699977,136642.337800617649918,169082.370800598931964
-1,334.178589970699988,137571.371916749136290,173263.939521593565587
-1,334.209069970700000,138314.599209654319566,177470.228806142171379
-1,334.239549970700011,139169.310596495284699,181698.994320119032636
-1,334.270029970700023,140024.021983336220728,185951.547054049326107
-1,334.300509970699977,141176.024287339270813,190238.963516981224529
-1,334.330989970699989,142030.735674180206843,194555.481474608008284
-1,334.361469970700000,142736.801602440129500,198896.205125807435252
-1,334.391949970700011,143368.544801409560023,203253.408018634683685
-1,334.422429970700023,144037.449365024222061,207635.289514246513136
-1,334.452909970699977,144892.160751865158090,212036.720192101842258
-1,334.483389970699989,146007.001691222947557,216470.626237327232957
-1,334.513869970700000,146861.713078063912690,220932.080094704637304
-1,334.544349970700011,147790.747194195369957,225421.125993153196760
-1,334.574829970700023,148831.265404262638185,229946.284237011888763
-1,334.605309970699977,149760.299520394095453,234501.022555151634151
-1,334.635789970699989,150912.301824397145538,239085.655086305603618
-1,334.666269970700000,151767.013211238110671,243694.412791717913933
-1,334.696749970700012,152919.015515241131652,248339.366764079197310
-1,334.727229970700023,154033.856454598892014,253018.941773424419807
-1,334.757709970699977,155223.020123247202719,257734.191375288122799
-1,334.788189970699989,156597.990615121787414,262482.237287704134360
-1,334.818669970700000,158456.058847384731052,267282.594670670339838
-1,334.849149970700012,161540.452112941246014,272158.963420376996510
-1,334.879629970700023,164327.554461335676024,277127.081093500717543
-1,334.910109970699978,167188.979539020627271,282177.817253433866426
-1,334.940589970699989,169790.275064188754186,287315.949757514405064
-1,334.971069970700000,171982.795578259043396,292526.661917842924595
-1,335.001549970700012,173506.411528714670567,297790.894472510495689
-1,335.032029970700023,174844.220655943994643,303100.843852482619695
-1,335.062509970699978,176293.513877109100576,308449.743033136590384
-1,335.092989970699989,177222.547993240586948,313839.527880239184014
-1,335.123469970700000,178931.970766922488110,319271.309787142381538
