lake,elev_m,area_m2,vol_m3
Pleasant,295.1964792,354405.7049,1006745.867
Pleasant,295.2269592,355489.3303,1017564.629
Pleasant,295.2574392,356452.5529,1028415.334
Pleasant,295.2879192,357415.7755,1039296.23
Pleasant,295.3183992,358168.2931,1050195.256
Pleasant,295.3488792,359101.415,1061127.579
Pleasant,295.3793592,360124.839,1072091.913
Pleasant,295.4098392,361298.7665,1083087.286
Pleasant,295.4403192,362141.5862,1094106.541
Pleasant,295.4707992,363074.7081,1105163.686
Pleasant,295.5012792,363977.7292,1116242.249
Pleasant,295.5317592,364910.8511,1127354.088
Pleasant,295.5622392,365964.3758,1138481.921
Pleasant,295.5927192,367138.3033,1149656.564
Pleasant,295.6231992,368101.5259,1160864.72
Pleasant,295.6536792,368854.0435,1172098.357
Pleasant,295.6841592,370238.676,1183364.79
Pleasant,295.7146392,371292.2006,1194657.132
Pleasant,295.7451192,372405.9267,1205996
Pleasant,295.7755992,373549.7536,1217366.465
Pleasant,295.8060792,374452.7747,1228769.182
Pleasant,295.8365592,375446.098,1240187.759
Pleasant,295.8670392,376379.2199,1251649.185
Pleasant,295.8975192,377854.1544,1263146.229
Pleasant,295.9279992,378847.4777,1274680.49
Pleasant,295.9584792,380232.1101,1286240.467
Pleasant,295.9889592,381466.2391,1297850.507
Pleasant,296.0194392,382610.0659,1309497.434
Pleasant,296.0499192,383874.2955,1321182.119
Pleasant,296.0803992,385469.6329,1332908.564
Pleasant,296.1108792,386523.1576,1344664.797
Pleasant,296.1413592,387757.2865,1356466.941
Pleasant,296.1718392,389322.5232,1368312.967
Pleasant,296.2023192,390737.2563,1380202.734
Pleasant,296.2327992,392001.4859,1392120.795
Pleasant,296.2632792,393356.0177,1404090.016
Pleasant,296.2937592,394830.9522,1416105.358
Pleasant,296.3242392,396396.1889,1428168.637
Pleasant,296.3547192,397600.2171,1440263.584
Pleasant,296.3851992,398984.8496,1452407.76
Pleasant,296.4156792,400519.9856,1464594.609
Pleasant,296.4461592,401934.7187,1476826.864
Pleasant,296.4766392,403259.1497,1489096.745
Pleasant,296.5071192,404673.8829,1501399.57
Pleasant,296.5375992,406269.2203,1513761.649
Pleasant,296.5680792,407954.8598,1526170.941
Pleasant,296.5985592,409399.6936,1538631.329
Pleasant,296.6290392,411265.9374,1551126.499
Pleasant,296.6595192,412921.4762,1563690.663
Pleasant,296.6899992,414366.31,1576303.906
Pleasant,296.7204792,416021.8488,1588960.142
Pleasant,296.7509592,418008.4954,1601660.334
Pleasant,296.7814392,419965.0412,1614431.951
Pleasant,296.8119192,421831.285,1627263.01
Pleasant,296.8423992,423667.428,1640154.871
Pleasant,296.8728792,425443.3696,1653101.037
Pleasant,296.9033592,427490.2176,1666086.535
Pleasant,296.9338392,429506.9648,1679147.59
Pleasant,296.9643192,431102.3022,1692266.599
Pleasant,296.9947992,433299.6537,1705439.045
Pleasant,297.0252792,435647.5087,1718670.682
Pleasant,297.0557592,438055.5651,1731985.973
Pleasant,297.0862392,440433.5209,1745373.529
Pleasant,297.1167192,442390.0667,1758828.655
Pleasant,297.1471992,444316.5119,1772333.529
Pleasant,297.1776792,447206.1796,1785924.66
Pleasant,297.2081592,449644.3367,1799594.483
Pleasant,297.2386392,452383.5009,1813348.428
Pleasant,297.2691192,454821.658,1827164.913
Pleasant,297.2995992,457560.8222,1841076.661
Pleasant,297.3300792,460209.6843,1855069.651
Pleasant,297.3605592,462948.8485,1869138.816
Pleasant,297.3910392,466169.624,1883304.263
Pleasant,297.4215192,469360.2987,1897550.369
Pleasant,297.4519992,471738.2544,1911895.216
Pleasant,297.4824792,473875.4045,1926311.595
Pleasant,297.5129592,476403.8638,1940799.889
Pleasant,297.5434392,478541.0139,1955341.442
Pleasant,297.5739192,481069.4731,1969965.623
Pleasant,297.6043992,483477.5295,1984669.223
Pleasant,297.6348792,486096.2909,1999451.324
Pleasant,297.6653592,488052.8368,2014284.174
Pleasant,297.6958392,489888.9798,2029192.144
Pleasant,297.7263192,491755.2235,2044155.063
Pleasant,297.7567992,493230.1581,2059169.178
Pleasant,297.7872792,495096.4018,2074234.049
Pleasant,297.8177592,496992.7462,2089342.385
Pleasant,297.8482392,498648.285,2104522.447
Pleasant,297.8787192,500424.2267,2119751.501
Pleasant,297.9091992,501658.3556,2135026.768
Pleasant,297.9396792,503283.7937,2150329.167
Pleasant,297.9701592,504728.6275,2165695.75
Pleasant,298.0006392,506293.8642,2181107.974
Pleasant,298.0311192,507618.2952,2196563.266
Pleasant,298.0615992,508611.6185,2212037.89
Pleasant,298.0920792,509574.8411,2227559.631
Pleasant,298.1225592,510598.2651,2243110.901
Pleasant,298.1530392,511621.689,2258692.769
