time,STAGE,INFLOW,RAINFALL,RUNOFF,LAK,WITHDRAWAL,EVAPORATION,STORAGE,VOLUME,SURFACE-AREA,WETTED-AREA,CONDUCTANCE
1.0,299.0660523,0.0,1292.203935,0.0,821.5566397999999,0.0,-470.69982989999994,0.0,2772210.869,548391.1546,548764.8091,4571.418515
32.0,299.01784100000003,0.0,353.5663718,0.0,916.3384627999999,0.0,-331.3089837,894.0853314999999,2745553.248,547671.1847,548162.098,4541.480903
61.0,298.97312999999997,0.0,479.80140379999995,0.0,942.5033156,0.0,-398.803903,861.5083027999999,2720834.15,546940.5862,547573.2233,4513.382496
92.0,298.9639387,0.0,1318.687878,0.0,694.5269963999999,0.0,-696.3676588,72.29291751,2715753.273,546781.322,547542.8012,4512.175339
122.0,298.9747667,0.0,1611.2725970000001,0.0,548.8320107999999,0.0,-809.3072276,-253.00096319999997,2721738.765,546968.0827,547766.8467,4523.012505
153.0,299.0595715,0.0,3130.099646,0.0,16.13418801,0.0,-1402.391008,-1711.4266670000002,2768626.2169999997,548297.4878,549088.2276,4585.9054240000005
183.0,298.9903178,0.0,805.7937879,0.0,197.79227350000002,0.0,-1952.419623,1344.590144,2730338.396,547237.3397,548213.9487,4543.956741
214.0,298.8632879,0.0,200.68830400000002,0.0,156.33552580000003,0.0,-2287.96279,2243.9295399999996,2660115.29,544708.172,546347.0641,4453.146249
245.0,298.82915739999993,0.0,1249.674167,0.0,373.79630760000003,0.0,-1558.542687,682.665293,2641248.4469999997,543817.0844,545559.4648,4413.209666
275.0,298.77801519999997,0.0,482.07170279999997,0.0,465.15103660000005,0.0,-989.6077816,972.7721835000001,2613024.02,542342.8396,544440.6192,4357.217781
306.0,298.85914249999996,0.0,2481.9314870000003,0.0,428.53543729999996,0.0,-585.8646719999999,-1467.530539,2657821.619,544602.0506,546087.6948,4440.141519
336.0,298.848776,0.0,636.8536012,0.0,420.80620039999997,0.0,-408.5411502,192.4943886,2652089.103,544335.6895,545903.9694,4430.764617
367.0,298.84929639999996,0.0,860.7729744999999,0.0,559.7647178,0.0,-342.7412184,41.73346251,2652376.918,544349.4276,545828.1411,4426.912225
398.0,298.8444479,0.0,815.8993119,0.0,626.3853436,0.0,-301.24582789999994,111.73224240000002,2649695.83,544221.4266,545688.8829,4419.673029
426.0,298.82205869999996,0.0,603.2428137,0.0,762.6323471,0.0,-332.56325860000004,491.95328600000005,2637328.216,543623.9977,545154.1413,4391.896715
457.0,298.8074506,0.0,880.2440019999999,0.0,710.0384664,0.0,-411.7446244,241.53973100000002,2629258.876,543204.5406,544890.2189,4378.67123
487.0,298.88556560000006,0.0,2154.253059,0.0,-369.9541472,0.0,-673.7502107999999,-1849.047873,2672433.0930000003,545232.219,547163.7906,4492.306482999999
518.0,298.9501551,0.0,2322.4871550000003,0.0,88.38122132,0.0,-1250.021107,-983.5945051000001,2708133.738,546530.856,547754.2499,4521.324283
548.0,299.0345921,0.0,3388.0417439999997,0.0,137.2561587,0.0,-1708.1531760000003,-1542.5566310000002,2754812.189,547922.1267,548795.455,4571.629495
579.0,298.9795633,0.0,1133.225643,0.0,305.74994100000004,0.0,-1873.3950949999999,1046.121528,2724390.3880000003,547048.6651,548017.7646,4534.382085
610.0,298.89982089999995,0.0,510.93514369999997,0.0,372.3750248,0.0,-1583.04689,1444.7127070000001,2680309.0319999997,545532.2772,546803.2412,4475.565388
640.0,298.8640518,0.0,896.2813390000001,0.0,533.1667158,0.0,-1078.629082,715.514975,2660538.054,544727.7276,546142.5488,4442.709135
671.0,298.8491875,0.0,996.7531137,0.0,702.9130953,0.0,-618.7559322000001,324.91620930000005,2652316.701,544346.5534,545749.1995,4422.439340999999
701.0,298.8791478,0.0,1549.7117,0.0,561.1425362000001,0.0,-382.5311064,-606.0380763,2668887.711,545092.2319,546381.596,4454.787401
732.0,298.8571238,0.0,563.5079153,0.0,733.7962219,0.0,-287.3953034,457.6839574,2656704.9469999997,544550.3708,545878.6515,4428.9676469999995
763.0,298.8184667,0.0,382.2466481,0.0,802.3881372000001,0.0,-294.98852400000004,715.1303606,2635344.406,543523.8433,545066.698,4387.345422
791.0,298.78333839999993,0.0,457.05376770000004,0.0,866.8555531999999,0.0,-305.63818100000003,715.4558519999999,2615956.224,542496.1468,544255.1082,4346.887745
822.0,298.7611915,0.0,583.921038,0.0,413.2392327,0.0,-397.0457611,226.74645640000003,2603764.055,541858.3158,544143.0794,4342.554617
852.0,298.9228228,0.0,3739.1626409999994,0.0,-179.9959409,0.0,-715.2303007,-3203.082384,2693017.9889999996,546000.4586,547541.9531,4511.013368999999
