lakeno,gw_in,gw_out,gw_net,lake_name,kstp,kper,mf_time,start_datetime,end_datetime
1,-2.0118426715407622,208.9997472253524,206.9879045538116,Plainfield Lake,0,0,1.0,1981-01-01,1981-01-01
1,-30.1837751200942,89.83141504632273,59.64763992622852,Plainfield Lake,7,1,32.0,1981-01-01,1981-02-01
1,-218.04844102924682,0.003618410702074471,-218.04482261854469,Plainfield Lake,7,2,60.0,1981-02-01,1981-03-01
1,-44.25229774306081,54.64003877569575,10.387741032634947,Plainfield Lake,7,3,91.0,1981-03-01,1981-04-01
1,-221.062614468126,0.043447789665151504,-221.0191666784608,Plainfield Lake,7,4,121.0,1981-04-01,1981-05-01
1,-15.789540115469663,94.75687463533927,78.96733451986961,Plainfield Lake,7,5,152.0,1981-05-01,1981-06-01
1,,293.14118922621424,,Plainfield Lake,7,6,182.0,1981-06-01,1981-07-01
1,,535.2024122610037,,Plainfield Lake,7,7,213.0,1981-07-01,1981-08-01
1,,630.8138835312989,,Plainfield Lake,7,8,244.0,1981-08-01,1981-09-01
1,0.0,602.9321851379104,602.9321851379104,Plainfield Lake,7,9,274.0,1981-09-01,1981-10-01
1,-1.1714357618689064,312.11092739234346,310.9394916304745,Plainfield Lake,7,10,305.0,1981-10-01,1981-11-01
1,0.0,388.9839197916772,388.9839197916772,Plainfield Lake,7,11,335.0,1981-11-01,1981-12-01
1,0.0,441.44537869157335,441.44537869157335,Plainfield Lake,7,12,366.0,1981-12-01,1982-01-01
1,0.0,480.58087917664426,480.58087917664426,Plainfield Lake,7,13,397.0,1982-01-01,1982-02-01
1,0.0,338.7608383899915,338.7608383899915,Plainfield Lake,7,14,425.0,1982-02-01,1982-03-01
1,-14.779567043415682,171.2557086561001,156.47614161268442,Plainfield Lake,7,15,456.0,1982-03-01,1982-04-01
1,-29.059367539756977,130.04425364408485,100.98488610432787,Plainfield Lake,7,16,486.0,1982-04-01,1982-05-01
1,-10.807071578882187,210.6759145958001,199.86884301691796,Plainfield Lake,7,17,517.0,1982-05-01,1982-06-01
1,-0.1232636562317566,376.717386568243,376.5941229120112,Plainfield Lake,7,18,547.0,1982-06-01,1982-07-01
1,-1.7158765092690371,381.6590831667906,379.9432066575216,Plainfield Lake,7,19,578.0,1982-07-01,1982-08-01
1,-0.09192111851825756,421.0810270451161,420.9891059265978,Plainfield Lake,7,20,609.0,1982-08-01,1982-09-01
1,-0.03428107570289285,371.9797302152832,371.9454491395803,Plainfield Lake,7,21,639.0,1982-09-01,1982-10-01
1,0.0,424.87337194709687,424.87337194709687,Plainfield Lake,7,22,670.0,1982-10-01,1982-11-01
1,-54.92208800422736,120.26727885399988,65.34519084977251,Plainfield Lake,7,23,700.0,1982-11-01,1982-12-01
1,-82.36377523951295,38.97341988568087,-43.39035535383209,Plainfield Lake,7,24,731.0,1982-12-01,1983-01-01
1,-9.10384575134367,171.3613831828707,162.257537431527,Plainfield Lake,7,25,762.0,1983-01-01,1983-02-01
1,-228.92623912697587,0.2945861190769392,-228.63165300789888,Plainfield Lake,7,26,790.0,1983-02-01,1983-03-01
1,-82.31936080242077,32.38752108149538,-49.93183972092538,Plainfield Lake,7,27,821.0,1983-03-01,1983-04-01
1,-15.749684170241835,140.091202485243,124.34151831500117,Plainfield Lake,7,28,851.0,1983-04-01,1983-05-01
1,-47.7451106114263,88.540268392612,40.795157781185715,Plainfield Lake,7,29,882.0,1983-05-01,1983-06-01
1,0.0,344.16903406422347,344.16903406422347,Plainfield Lake,7,30,912.0,1983-06-01,1983-07-01
1,0.0,539.8603793019971,539.8603793019971,Plainfield Lake,7,31,943.0,1983-07-01,1983-08-01
1,-0.11543552298098805,420.0833991296955,419.9679636067145,Plainfield Lake,7,32,974.0,1983-08-01,1983-09-01
1,-32.60758522766946,169.69285701650438,137.08527178883492,Plainfield Lake,7,33,1004.0,1983-09-01,1983-10-01
